campaign_touch_id,activity_month,vehicle_segment,model_year_position,powertrain_focus,primary_channel,secondary_channel_syndicated_flag,shopper_intent_decile,market_region_tier,nameplate_lifecycle_stage,incentive_program_pressure_band,competitive_conquest_intensity_band,days_supply_inventory_proxy_band,auto_loan_rate_environment_band,personalization_depth_band,dealer_cosponsored_local_campaign_flag,days_since_last_brand_engagement,major_auto_show_or_event_window_flag,ev_adoption_maturity_region_band,ad_frequency_saturation_risk_band,certified_preowned_vs_new_intent_context,credit_availability_consumer_stress_band,multicultural_locale_creative_match_flag,qualified_marketing_milestone_achieved
AMK-00000023,2024-02,EV Crossover,Prior Year Closeout,BEV,Paid Social,No,7,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,Segmented,Yes,42,No,Mature EV Penetration,Low Exposure,Mixed / Undecided,Benign,No,0
AMK-00000024,2024-01,EV Crossover,Prior Year Closeout,BEV,Email – CRM,No,1,Canada,Steady State,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,Segmented,Yes,29,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,1
AMK-00000025,2025-10,Full-Size Pickup,Next MY Pre-Order,Hybrid,Paid Social,No,9,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,Balanced,Flat,Segmented,No,30,No,Early Market,Typical,CPO / Used Consideration,Benign,Yes,1
AMK-00000026,2024-09,Compact SUV / Crossover,Current Model Year,ICE,OEM Website / App,Yes,3,US – Major Metro,Steady State,Light Incentives,Low,Tight – Under 30,Adverse – Rising APR,Segmented,No,38,No,Growing,High Fatigue Risk,New Vehicle Focus,Benign,No,1
AMK-00000027,2022-06,Full-Size Pickup,Next MY Pre-Order,ICE,Email – CRM,No,4,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,Moderate,Balanced,Flat,1:1 Next-Best-Offer,No,34,No,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,No,0
AMK-00000028,2024-11,Full-Size Pickup,Current Model Year,BEV,Paid Social,No,5,US – Suburban / Secondary,Runout / End of Generation,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Generic,Yes,49,No,Growing,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00000029,2022-08,Midsize / 3-Row SUV,Next MY Pre-Order,Hybrid,Paid Social,Yes,7,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Tight – Under 30,Flat,Generic,Yes,44,No,Growing,High Fatigue Risk,CPO / Used Consideration,Constrained,Yes,0
AMK-00000030,2024-04,Full-Size Pickup,Prior Year Closeout,Hybrid,Paid Search,No,5,Other Market,Steady State,Heavy Stair-Step Risk,Moderate,Tight – Under 30,Adverse – Rising APR,Generic,No,34,No,Early Market,Typical,New Vehicle Focus,Constrained,No,1
AMK-00000031,2022-10,EV Crossover,Current Model Year,BEV,Dealer Co-op – Local Digital,No,7,US – Rural / Exurban,Runout / End of Generation,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Segmented,No,42,No,Early Market,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00000032,2024-02,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,No,3,US – Rural / Exurban,Steady State,Moderate APR / Cash,Moderate,Balanced,Flat,Segmented,No,33,No,Early Market,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00000033,2024-07,Compact SUV / Crossover,Current Model Year,BEV,Dealer Co-op – Local Digital,No,6,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,Tight – Under 30,Favourable vs Prior Quarter,Segmented,No,32,No,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,No,0
AMK-00000034,2024-06,Midsize Sedan,Current Model Year,BEV,Programmatic Video / CTV,Yes,4,US – Rural / Exurban,Runout / End of Generation,Moderate APR / Cash,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,No,30,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00000035,2024-03,Midsize / 3-Row SUV,Current Model Year,BEV,Paid Search,Yes,4,US – Rural / Exurban,Mid-Cycle Refresh,Moderate APR / Cash,Low,Balanced,Favourable vs Prior Quarter,Segmented,No,26,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,Yes,1
AMK-00000036,2024-04,Midsize Sedan,Current Model Year,PHEV,Paid Search,No,2,Other Market,Runout / End of Generation,Heavy Stair-Step Risk,Low,Tight – Under 30,Adverse – Rising APR,Segmented,Yes,31,No,Early Market,Typical,CPO / Used Consideration,Benign,Yes,1
AMK-00000037,2024-11,Compact SUV / Crossover,Current Model Year,BEV,Paid Social,No,5,Canada,Steady State,Light Incentives,Low,High – Over 60,Flat,Segmented,Yes,38,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,0
AMK-00000038,2022-09,Midsize / 3-Row SUV,Current Model Year,ICE,OEM Website / App,No,7,US – Rural / Exurban,Steady State,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,Segmented,Yes,31,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00000039,2023-05,Midsize Sedan,Current Model Year,Hybrid,Email – CRM,No,3,Other Market,Mid-Cycle Refresh,Light Incentives,Low,Balanced,Flat,1:1 Next-Best-Offer,Yes,40,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00000040,2024-10,Full-Size Pickup,Current Model Year,ICE,Programmatic Video / CTV,Yes,9,Canada,Steady State,Moderate APR / Cash,Low,High – Over 60,Adverse – Rising APR,Segmented,No,37,No,Early Market,Typical,CPO / Used Consideration,Tightening,Yes,0
AMK-00000041,2022-11,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,Yes,7,US – Major Metro,Mid-Cycle Refresh,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Segmented,No,42,No,Early Market,Low Exposure,CPO / Used Consideration,Tightening,Yes,0
AMK-00000042,2025-12,Midsize Sedan,Current Model Year,ICE,Dealer Co-op – Local Digital,Yes,7,US – Major Metro,Steady State,Light Incentives,Low,High – Over 60,Flat,Segmented,Yes,37,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Constrained,Yes,0
AMK-00000043,2024-02,EV Crossover,Current Model Year,ICE,Paid Social,No,9,Canada,Steady State,Light Incentives,High – New Entrants,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,44,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00000044,2024-06,Performance / Specialty,Current Model Year,BEV,Email – CRM,No,8,US – Suburban / Secondary,Steady State,Light Incentives,Low,Balanced,Flat,Segmented,No,37,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00000045,2022-01,EV Crossover,Current Model Year,Hybrid,Paid Social,No,7,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,Balanced,Flat,Generic,Yes,31,No,Growing,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00000046,2023-11,Midsize / 3-Row SUV,Next MY Pre-Order,BEV,Programmatic Video / CTV,Yes,7,US – Rural / Exurban,Steady State,Light Incentives,Low,Balanced,Flat,1:1 Next-Best-Offer,No,51,No,Growing,Typical,Mixed / Undecided,Benign,No,1
AMK-00000047,2024-12,Compact SUV / Crossover,Current Model Year,BEV,Paid Social,Yes,6,US – Major Metro,Steady State,Light Incentives,Moderate,Tight – Under 30,Favourable vs Prior Quarter,1:1 Next-Best-Offer,Yes,42,No,Early Market,Low Exposure,New Vehicle Focus,Benign,No,1
AMK-00000048,2024-10,Performance / Specialty,Current Model Year,ICE,Paid Search,No,2,US – Major Metro,Runout / End of Generation,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,Generic,No,42,Yes,Growing,Low Exposure,CPO / Used Consideration,Tightening,Yes,0
AMK-00000049,2023-10,Midsize / 3-Row SUV,Current Model Year,ICE,OEM Website / App,No,2,Other Market,Steady State,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,No,36,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,1
AMK-00000050,2024-10,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,No,6,US – Rural / Exurban,Runout / End of Generation,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Flat,Generic,No,46,No,Growing,Typical,New Vehicle Focus,Benign,No,0
AMK-00000051,2022-08,Compact SUV / Crossover,Prior Year Closeout,ICE,OEM Website / App,Yes,6,US – Rural / Exurban,Runout / End of Generation,Light Incentives,Low,Balanced,Adverse – Rising APR,Segmented,No,32,No,Growing,Typical,New Vehicle Focus,Tightening,No,0
AMK-00000052,2024-05,Midsize / 3-Row SUV,Current Model Year,ICE,Dealer Co-op – Local Digital,Yes,3,US – Suburban / Secondary,Steady State,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Flat,1:1 Next-Best-Offer,No,41,No,Early Market,Low Exposure,New Vehicle Focus,Benign,Yes,1
AMK-00000053,2025-03,EV Crossover,Current Model Year,ICE,Auto Show / Experiential,No,5,US – Major Metro,New Launch / Fresh Reveal,Moderate APR / Cash,Low,High – Over 60,Adverse – Rising APR,1:1 Next-Best-Offer,No,30,No,Mature EV Penetration,High Fatigue Risk,CPO / Used Consideration,Benign,No,0
AMK-00000054,2023-12,Midsize Sedan,Prior Year Closeout,ICE,Paid Social,No,2,US – Major Metro,New Launch / Fresh Reveal,Light Incentives,High – New Entrants,Balanced,Adverse – Rising APR,Segmented,Yes,40,No,Growing,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00000055,2022-02,Full-Size Pickup,Current Model Year,ICE,OEM Website / App,Yes,5,US – Major Metro,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,Generic,No,38,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Constrained,Yes,0
AMK-00000056,2023-07,Full-Size Pickup,Current Model Year,ICE,Paid Social,No,6,US – Major Metro,Steady State,Heavy Stair-Step Risk,Moderate,Balanced,Flat,Segmented,Yes,34,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Constrained,No,0
AMK-00000057,2023-05,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Social,Yes,2,US – Suburban / Secondary,Steady State,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,48,No,Early Market,Typical,New Vehicle Focus,Constrained,No,0
AMK-00000058,2023-12,Midsize / 3-Row SUV,Current Model Year,BEV,Paid Search,No,9,US – Major Metro,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,Balanced,Flat,Segmented,Yes,46,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,No,1
AMK-00000059,2023-12,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,No,3,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,High – Over 60,Adverse – Rising APR,Generic,Yes,37,No,Growing,Typical,Mixed / Undecided,Benign,No,0
AMK-00000060,2022-07,EV Crossover,Current Model Year,ICE,Email – CRM,Yes,7,US – Suburban / Secondary,Steady State,Light Incentives,Low,Tight – Under 30,Flat,Segmented,No,39,No,Mature EV Penetration,Typical,Mixed / Undecided,Benign,No,0
AMK-00000061,2024-11,Midsize / 3-Row SUV,Current Model Year,BEV,Programmatic Video / CTV,No,1,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,High – Over 60,Flat,Segmented,No,41,No,Mature EV Penetration,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00000062,2024-08,Midsize Sedan,Current Model Year,ICE,OEM Website / App,Yes,9,US – Suburban / Secondary,Runout / End of Generation,Heavy Stair-Step Risk,Moderate,Balanced,Flat,Generic,No,38,Yes,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00000063,2025-04,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,No,7,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,High – Over 60,Adverse – Rising APR,Segmented,Yes,41,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00000064,2024-11,EV Crossover,Prior Year Closeout,BEV,Paid Search,No,4,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,High – Over 60,Flat,Segmented,No,31,No,Growing,Typical,New Vehicle Focus,Benign,Yes,0
AMK-00000065,2023-10,Compact SUV / Crossover,Current Model Year,BEV,OEM Website / App,Yes,2,Canada,Runout / End of Generation,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Favourable vs Prior Quarter,Generic,No,24,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00000066,2023-07,Full-Size Pickup,Current Model Year,ICE,Programmatic Video / CTV,No,9,US – Suburban / Secondary,Steady State,Light Incentives,Low,Balanced,Flat,1:1 Next-Best-Offer,No,39,No,Growing,Typical,Mixed / Undecided,Constrained,No,0
AMK-00000067,2024-04,Compact SUV / Crossover,Current Model Year,BEV,Dealer Co-op – Local Digital,No,4,US – Major Metro,Runout / End of Generation,Light Incentives,Low,Balanced,Favourable vs Prior Quarter,Segmented,No,33,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Tightening,Yes,0
AMK-00000068,2023-04,Compact SUV / Crossover,Current Model Year,ICE,Paid Search,Yes,9,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,Segmented,No,29,No,Growing,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00000069,2024-07,Midsize / 3-Row SUV,Current Model Year,ICE,OEM Website / App,No,1,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Flat,Generic,Yes,34,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00000070,2023-12,EV Crossover,Current Model Year,Hybrid,Programmatic Video / CTV,Yes,5,US – Rural / Exurban,Steady State,Light Incentives,Low,Tight – Under 30,Favourable vs Prior Quarter,Segmented,Yes,38,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00000071,2023-01,Compact SUV / Crossover,Current Model Year,ICE,OEM Website / App,No,2,US – Major Metro,Steady State,Light Incentives,Low,Balanced,Favourable vs Prior Quarter,Segmented,Yes,40,Yes,Early Market,Typical,CPO / Used Consideration,Benign,No,1
AMK-00000072,2023-04,Full-Size Pickup,Prior Year Closeout,ICE,Email – CRM,No,10,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,High – Over 60,Flat,Segmented,No,42,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00000073,2022-08,Compact SUV / Crossover,Next MY Pre-Order,PHEV,OEM Website / App,Yes,7,Other Market,Mid-Cycle Refresh,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Segmented,Yes,41,No,Mature EV Penetration,Low Exposure,CPO / Used Consideration,Benign,No,1
AMK-00000074,2025-06,Full-Size Pickup,Current Model Year,ICE,Paid Search,No,4,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Segmented,No,37,No,Growing,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00000075,2023-08,Compact SUV / Crossover,Current Model Year,BEV,Dealer Co-op – Local Digital,No,1,US – Rural / Exurban,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,Balanced,Flat,Segmented,No,32,Yes,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,1
AMK-00000076,2022-06,Compact SUV / Crossover,Prior Year Closeout,ICE,Dealer Co-op – Local Digital,No,6,US – Suburban / Secondary,Runout / End of Generation,Light Incentives,Moderate,Tight – Under 30,Flat,Generic,No,41,No,Early Market,Typical,New Vehicle Focus,Constrained,No,0
AMK-00000077,2022-08,Midsize Sedan,Current Model Year,ICE,Paid Search,No,3,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,High – Over 60,Flat,Generic,No,38,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00000078,2024-12,Compact SUV / Crossover,Current Model Year,ICE,Email – CRM,Yes,10,US – Rural / Exurban,Mid-Cycle Refresh,Heavy Stair-Step Risk,Low,Balanced,Adverse – Rising APR,Segmented,Yes,28,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00000079,2023-11,EV Crossover,Current Model Year,BEV,Paid Search,No,10,Canada,Steady State,Heavy Stair-Step Risk,Moderate,High – Over 60,Adverse – Rising APR,Generic,Yes,38,No,Growing,High Fatigue Risk,CPO / Used Consideration,Tightening,Yes,0
AMK-00000080,2023-03,Full-Size Pickup,Current Model Year,ICE,Auto Show / Experiential,No,9,Canada,Mid-Cycle Refresh,Heavy Stair-Step Risk,Moderate,High – Over 60,Flat,Generic,No,38,No,Growing,High Fatigue Risk,CPO / Used Consideration,Tightening,Yes,1
AMK-00000081,2024-10,EV Crossover,Current Model Year,ICE,Auto Show / Experiential,No,5,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,High – Over 60,Flat,Segmented,Yes,50,No,Early Market,Low Exposure,Mixed / Undecided,Benign,Yes,0
AMK-00000082,2023-12,Midsize / 3-Row SUV,Prior Year Closeout,ICE,OEM Website / App,Yes,2,US – Rural / Exurban,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,36,No,Growing,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00000083,2023-11,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,No,4,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,Generic,Yes,38,No,Growing,Typical,New Vehicle Focus,Benign,Yes,1
AMK-00000084,2023-05,Full-Size Pickup,Next MY Pre-Order,BEV,Paid Social,Yes,10,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,High – New Entrants,High – Over 60,Flat,Segmented,No,40,No,Growing,Low Exposure,Mixed / Undecided,Benign,No,1
AMK-00000085,2025-08,Midsize Sedan,Current Model Year,BEV,Email – CRM,No,5,Canada,Runout / End of Generation,Heavy Stair-Step Risk,Moderate,Tight – Under 30,Favourable vs Prior Quarter,Segmented,No,32,No,Early Market,Low Exposure,CPO / Used Consideration,Benign,Yes,0
AMK-00000086,2024-04,EV Crossover,Current Model Year,BEV,Dealer Co-op – Local Digital,Yes,6,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Flat,Generic,No,28,No,Early Market,Low Exposure,CPO / Used Consideration,Tightening,Yes,0
AMK-00000087,2022-02,Compact SUV / Crossover,Prior Year Closeout,ICE,Programmatic Video / CTV,No,9,US – Major Metro,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,Segmented,Yes,50,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00000088,2025-02,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Social,No,8,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,Low,Balanced,Flat,1:1 Next-Best-Offer,No,37,No,Growing,Typical,New Vehicle Focus,Tightening,Yes,1
AMK-00000089,2022-09,EV Crossover,Current Model Year,BEV,Dealer Co-op – Local Digital,Yes,6,US – Major Metro,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,50,No,Growing,Low Exposure,Mixed / Undecided,Tightening,No,0
AMK-00000090,2024-08,Full-Size Pickup,Current Model Year,ICE,Paid Search,Yes,2,Canada,Steady State,Light Incentives,High – New Entrants,Balanced,Favourable vs Prior Quarter,Segmented,No,33,No,Growing,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00000091,2025-07,Compact SUV / Crossover,Next MY Pre-Order,ICE,Paid Social,No,5,US – Major Metro,Steady State,Light Incentives,Low,High – Over 60,Favourable vs Prior Quarter,Segmented,No,38,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00000092,2025-12,EV Crossover,Current Model Year,Hybrid,Paid Search,No,5,US – Major Metro,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Favourable vs Prior Quarter,Segmented,No,32,Yes,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,No,1
AMK-00000093,2023-06,Compact SUV / Crossover,Current Model Year,ICE,Email – CRM,No,9,US – Major Metro,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Flat,Segmented,Yes,39,No,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,Yes,0
AMK-00000094,2023-08,Full-Size Pickup,Current Model Year,ICE,Auto Show / Experiential,No,6,US – Rural / Exurban,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,Generic,No,38,No,Early Market,Typical,CPO / Used Consideration,Tightening,Yes,0
AMK-00000095,2024-05,Full-Size Pickup,Prior Year Closeout,BEV,Email – CRM,No,7,US – Major Metro,Runout / End of Generation,Moderate APR / Cash,High – New Entrants,Balanced,Flat,Generic,No,37,No,Early Market,Typical,New Vehicle Focus,Constrained,No,0
